"","StartAge","MatAge","DeathAge","PolicyCost","isEarlyDeath","GrossProfit"
"252",40,60,71,46090.6109814258,0,-85909.3890185742
"253",35,60,67,35701.233109925,0,-48298.766890075
"254",31,60,81,29166.4308372293,0,-222833.569162771
"255",32,60,89,30674.138324602,0,-317325.861675398
"256",37,60,77,39524.46598779,0,-164475.53401221
"257",36,60,75,37561.7922776187,0,-142438.207722381
"258",29,60,70,26375.7729182613,0,-93624.2270817386
"259",33,60,67,32262.692948038,0,-51737.307051962
"260",29,60,70,26375.7729182613,0,-93624.2270817386
"261",38,60,91,41595.5273390858,0,-330404.472660914
"262",39,60,76,43781.6922550225,0,-148218.307744977
"263",39,60,89,43781.6922550225,0,-304218.307744977
"264",37,60,54,39524.46598779,1,39524.46598779
"265",28,60,82,25084.8662777387,0,-238915.133722261
"266",30,60,86,27735.0538552814,0,-284264.946144719
"267",26,60,72,22693.5934864521,0,-121306.406513548
"268",29,60,62,26375.7729182613,0,2375.77291826135
"269",27,60,72,23858.5741941828,0,-120141.425805817
"270",35,60,67,35701.233109925,0,-48298.766890075
"271",35,60,68,35701.233109925,0,-60298.766890075
"272",27,60,84,23858.5741941828,0,-264141.425805817
"273",28,60,78,25084.8662777387,0,-190915.133722261
"274",40,60,90,46090.6109814258,0,-313909.389018574
"275",37,60,81,39524.46598779,0,-212475.53401221
"276",28,60,78,25084.8662777387,0,-190915.133722261
"277",38,60,78,41595.5273390858,0,-174404.472660914
"278",34,60,73,33936.5730090924,0,-122063.426990908
"279",31,60,85,29166.4308372293,0,-270833.569162771
"280",31,60,53,29166.4308372293,1,29166.4308372293
"281",25,60,77,21586.579096464,0,-182413.420903536
"282",32,60,96,30674.138324602,0,-401325.861675398
"283",39,60,83,43781.6922550225,0,-232218.307744977
"284",35,60,75,35701.233109925,0,-144298.766890075
"285",35,60,62,35701.233109925,0,11701.233109925
"286",34,60,64,33936.5730090924,0,-14063.4269909076
"287",26,60,73,22693.5934864521,0,-133306.406513548
"288",32,60,91,30674.138324602,0,-341325.861675398
"289",30,60,73,27735.0538552814,0,-128264.946144719
"290",36,60,90,37561.7922776187,0,-322438.207722381
"291",39,60,77,43781.6922550225,0,-160218.307744977
"292",39,60,95,43781.6922550225,0,-376218.307744977
"293",26,60,69,22693.5934864521,0,-85306.4065135479
"294",40,60,81,46090.6109814258,0,-205909.389018574
"295",37,60,85,39524.46598779,0,-260475.53401221
"296",37,60,89,39524.46598779,0,-308475.53401221
"297",32,60,88,30674.138324602,0,-305325.861675398
"298",33,60,70,32262.692948038,0,-87737.307051962
